#Num,collapses/collapsed,highest_damage_state/S,reconstruction/cost_impractical,reconstruction/cost,reconstruction/time,inhabitants/,injuries/sev1,injuries/sev2,injuries/sev3,injuries/sev4
0,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,0.0,1,0,351906.814,5.0,1.0,0.0005,0.0,0.0,0.0
2,0.0,3,0,7266875.7091,120.0,1.0,0.01,0.001,1e-05,1e-05
3,0.0,2,0,1759534.07,30.0,1.0,0.002,0.00025,0.0,0.0
4,0.0,1,0,351906.814,5.0,1.0,0.0005,0.0,0.0,0.0
5,0.0,3,0,7266875.7091,120.0,1.0,0.01,0.001,1e-05,1e-05
6,0.0,2,0,1759534.07,30.0,1.0,0.002,0.00025,0.0,0.0
7,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8,0.0,2,0,1759534.07,30.0,1.0,0.002,0.00025,0.0,0.0
9,0.0,4,0,17595340.7,240.0,1.0,0.05,0.01,0.0001,0.0001
10,0.0,3,0,7266875.7091,120.0,1.0,0.01,0.001,1e-05,1e-05
11,0.0,4,0,17595340.7,240.0,1.0,0.05,0.01,0.0001,0.0001
12,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
13,0.0,3,0,7266875.7091,120.0,1.0,0.01,0.001,1e-05,1e-05
14,0.0,1,0,351906.814,5.0,1.0,0.0005,0.0,0.0,0.0
15,0.0,1,0,351906.814,5.0,1.0,0.0005,0.0,0.0,0.0
16,0.0,4,0,17595340.7,240.0,1.0,0.05,0.01,0.0001,0.0001
17,0.0,3,0,7266875.7091,120.0,1.0,0.01,0.001,1e-05,1e-05
18,0.0,4,0,17595340.7,240.0,1.0,0.05,0.01,0.0001,0.0001
19,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
20,0.0,2,0,1759534.07,30.0,1.0,0.002,0.00025,0.0,0.0
21,0.0,4,0,17595340.7,240.0,1.0,0.05,0.01,0.0001,0.0001
22,0.0,4,0,17595340.7,240.0,1.0,0.05,0.01,0.0001,0.0001
23,0.0,1,0,351906.814,5.0,1.0,0.0005,0.0,0.0,0.0
24,0.0,4,0,17595340.7,240.0,1.0,0.05,0.01,0.0001,0.0001
25,0.0,3,0,7266875.7091,120.0,1.0,0.01,0.001,1e-05,1e-05
26,0.0,3,0,7266875.7091,120.0,1.0,0.01,0.001,1e-05,1e-05
27,0.0,3,0,7266875.7091,120.0,1.0,0.01,0.001,1e-05,1e-05
28,0.0,4,0,17595340.7,240.0,1.0,0.05,0.01,0.0001,0.0001
29,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
30,1.0,4,0,17595340.7,1.0,1.0,0.4,0.2,0.05,0.1
31,0.0,4,0,17595340.7,240.0,1.0,0.05,0.01,0.0001,0.0001
32,0.0,2,0,1759534.07,30.0,1.0,0.002,0.00025,0.0,0.0
33,0.0,3,0,7266875.7091,120.0,1.0,0.01,0.001,1e-05,1e-05
34,0.0,4,0,17595340.7,240.0,1.0,0.05,0.01,0.0001,0.0001
35,0.0,4,0,17595340.7,240.0,1.0,0.05,0.01,0.0001,0.0001
36,0.0,4,0,17595340.7,240.0,1.0,0.05,0.01,0.0001,0.0001
37,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
38,0.0,4,0,17595340.7,240.0,1.0,0.05,0.01,0.0001,0.0001
39,0.0,4,0,17595340.7,240.0,1.0,0.05,0.01,0.0001,0.0001
40,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
41,0.0,1,0,351906.814,5.0,1.0,0.0005,0.0,0.0,0.0
42,0.0,2,0,1759534.07,30.0,1.0,0.002,0.00025,0.0,0.0
43,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
44,0.0,4,0,17595340.7,240.0,1.0,0.05,0.01,0.0001,0.0001
45,0.0,2,0,1759534.07,30.0,1.0,0.002,0.00025,0.0,0.0
46,0.0,3,0,7266875.7091,120.0,1.0,0.01,0.001,1e-05,1e-05
47,0.0,4,0,17595340.7,240.0,1.0,0.05,0.01,0.0001,0.0001
48,0.0,4,0,17595340.7,240.0,1.0,0.05,0.01,0.0001,0.0001
49,0.0,2,0,1759534.07,30.0,1.0,0.002,0.00025,0.0,0.0
