,1-PGA-1-1
0.000000000000000000e+00,1.504696788361539417e+00
1.000000000000000000e+00,2.513470044913561185e+00
2.000000000000000000e+00,1.003659067115090053e+01
3.000000000000000000e+00,2.144776339948836874e+00
4.000000000000000000e+00,1.094408225189438255e+00
5.000000000000000000e+00,2.027708026785286499e+00
6.000000000000000000e+00,1.473876834040394712e+00
7.000000000000000000e+00,1.042743331424568876e+00
8.000000000000000000e+00,1.243854192037558537e+00
9.000000000000000000e+00,2.086587910085249131e+00
1.000000000000000000e+01,3.335544921505284588e+00
1.100000000000000000e+01,6.920173339329086737e+00
1.200000000000000000e+01,1.720294914775489570e+00
1.300000000000000000e+01,9.473802141149111344e-01
1.400000000000000000e+01,1.589487928202405476e+00
1.500000000000000000e+01,4.794978554113146219e-01
1.600000000000000000e+01,1.489679548907779871e+00
1.700000000000000000e+01,1.264949802371014842e+00
1.800000000000000000e+01,4.416830590323678862e+00
1.900000000000000000e+01,7.664660687445666865e-01
2.000000000000000000e+01,2.342643602186842866e+00
2.100000000000000000e+01,1.563915576334489854e+00
2.200000000000000000e+01,3.022965972290539760e+00
2.300000000000000000e+01,8.194793331649119494e-01
2.400000000000000000e+01,3.567254102572913865e+00
2.500000000000000000e+01,1.849405807645101651e+00
2.600000000000000000e+01,4.095517698174428567e+00
2.700000000000000000e+01,2.297400831495436169e+00
2.800000000000000000e+01,3.371372505240016082e+00
2.900000000000000000e+01,1.491551947293360714e+00
3.000000000000000000e+01,5.836794388949916090e+00
3.100000000000000000e+01,3.338197115748035682e+00
3.200000000000000000e+01,1.739373823877625513e+00
3.300000000000000000e+01,1.985704683552469874e+00
3.400000000000000000e+01,1.331642549362644701e+00
3.500000000000000000e+01,3.023029452078108026e+00
3.600000000000000000e+01,2.339814798640642568e+00
3.700000000000000000e+01,1.327593163279911614e+00
3.800000000000000000e+01,2.193356370859508075e+00
3.900000000000000000e+01,1.985391940929629007e+00
4.000000000000000000e+01,1.340373686800892639e+00
4.100000000000000000e+01,1.461042001996420092e+00
4.200000000000000000e+01,3.707389908200692918e+00
4.300000000000000000e+01,1.678299491995929538e+00
4.400000000000000000e+01,3.392985005200225057e+00
4.500000000000000000e+01,2.000254630428474734e+00
4.600000000000000000e+01,2.491794562159538984e+00
4.700000000000000000e+01,1.843274016638582591e+00
4.800000000000000000e+01,4.538108408587197218e+00
4.900000000000000000e+01,1.143248404011159236e+00
5.000000000000000000e+01,2.868598592623990307e+00
5.100000000000000000e+01,1.281821382982514246e+00
5.200000000000000000e+01,4.163480217549767382e+00
5.300000000000000000e+01,1.789415178311620558e+00
5.400000000000000000e+01,1.014800105576489697e+00
5.500000000000000000e+01,4.500678972737611971e+00
5.600000000000000000e+01,1.978978859713500738e+00
5.700000000000000000e+01,1.216850084422692158e+00
5.800000000000000000e+01,3.288369640602732957e+00
5.900000000000000000e+01,1.704110961783003919e+00
6.000000000000000000e+01,9.427156121750653872e-01
6.100000000000000000e+01,1.010897473725900442e+00
6.200000000000000000e+01,2.392464804804447454e+00
6.300000000000000000e+01,2.178687238519995351e+00
6.400000000000000000e+01,4.265074805637867783e+00
6.500000000000000000e+01,1.500190640951534871e+00
6.600000000000000000e+01,8.674578024172077129e-01
6.700000000000000000e+01,2.093592274905291983e+00
6.800000000000000000e+01,5.421933346753575300e+00
6.900000000000000000e+01,4.176089049971223766e+00
7.000000000000000000e+01,7.316616971979781336e-01
7.100000000000000000e+01,2.950513763588646921e+00
7.200000000000000000e+01,3.646726438467737808e+00
7.300000000000000000e+01,3.286122949679981087e+00
7.400000000000000000e+01,6.979729053739762712e-01
7.500000000000000000e+01,3.211092569124802232e+00
7.600000000000000000e+01,7.670420578247223453e-01
7.700000000000000000e+01,1.688032227016074804e+00
7.800000000000000000e+01,1.799639197001706270e+00
7.900000000000000000e+01,1.118432893697175912e+00
8.000000000000000000e+01,3.710506384605377850e+00
8.100000000000000000e+01,7.673470073297183891e-01
8.200000000000000000e+01,2.958540186366880764e+00
8.300000000000000000e+01,1.940261274193161301e+00
8.400000000000000000e+01,2.979003953336350374e+00
8.500000000000000000e+01,1.508826893116244294e+00
8.600000000000000000e+01,1.347183864900669992e+00
8.700000000000000000e+01,3.732772381902305536e+00
8.800000000000000000e+01,2.216008536311456112e+00
8.900000000000000000e+01,3.993269525729555625e+00
9.000000000000000000e+01,3.634324412207346366e+00
9.100000000000000000e+01,1.555567279263220026e+00
9.200000000000000000e+01,2.513238324555109759e+00
9.300000000000000000e+01,4.465059705132649270e+00
9.400000000000000000e+01,5.818478929439776515e+00
9.500000000000000000e+01,2.125004509143008313e+00
9.600000000000000000e+01,4.291124251495227249e+00
9.700000000000000000e+01,2.358626139083314310e+00
9.800000000000000000e+01,1.739623584369974330e+00
9.900000000000000000e+01,1.542197709978589071e+00
