,1-PGA-1-1
0.000000000000000000e+00,2.708799438756621214e+00
1.000000000000000000e+00,3.636356758609220918e+00
2.000000000000000000e+00,7.928074513593436734e+00
3.000000000000000000e+00,2.788462361749450835e+00
4.000000000000000000e+00,2.310396717812041256e+00
5.000000000000000000e+00,2.123463607370836392e+00
6.000000000000000000e+00,2.057614737567515117e+00
7.000000000000000000e+00,1.441038554441103292e+00
8.000000000000000000e+00,1.639712117885382181e+00
9.000000000000000000e+00,3.233910874740831165e+00
1.000000000000000000e+01,5.704226266799449441e+00
1.100000000000000000e+01,7.410415880711912706e+00
1.200000000000000000e+01,1.835970211914579764e+00
1.300000000000000000e+01,2.348784125053174243e+00
1.400000000000000000e+01,3.719240981851172911e+00
1.500000000000000000e+01,8.351200182368695435e-01
1.600000000000000000e+01,2.397573149757949995e+00
1.700000000000000000e+01,1.795262998036890378e+00
1.800000000000000000e+01,4.901832314181016059e+00
1.900000000000000000e+01,2.256898796478195468e+00
2.000000000000000000e+01,2.893763892702439833e+00
2.100000000000000000e+01,2.555880199245152529e+00
2.200000000000000000e+01,4.060731218855659463e+00
2.300000000000000000e+01,1.140259397393417196e+00
2.400000000000000000e+01,6.744012692699739020e+00
2.500000000000000000e+01,2.244611174799171938e+00
2.600000000000000000e+01,5.005899914136031192e+00
2.700000000000000000e+01,3.074524939927349987e+00
2.800000000000000000e+01,3.486607060601454311e+00
2.900000000000000000e+01,1.962698724506982018e+00
3.000000000000000000e+01,5.753253367006634811e+00
3.100000000000000000e+01,3.811988515979404468e+00
3.200000000000000000e+01,2.533671680063227960e+00
3.300000000000000000e+01,2.359183848605711287e+00
3.400000000000000000e+01,2.354940213179043784e+00
3.500000000000000000e+01,5.365128120900210185e+00
3.600000000000000000e+01,4.816448779512616518e+00
3.700000000000000000e+01,1.550502697064886526e+00
3.800000000000000000e+01,2.927407275207845494e+00
3.900000000000000000e+01,3.900303593602131080e+00
4.000000000000000000e+01,1.904077066131364848e+00
4.100000000000000000e+01,3.109543452343062064e+00
4.200000000000000000e+01,2.707444565082596899e+00
4.300000000000000000e+01,2.505305944259215600e+00
4.400000000000000000e+01,2.976445408328272979e+00
4.500000000000000000e+01,4.045148971792599468e+00
4.600000000000000000e+01,3.802140936797599124e+00
4.700000000000000000e+01,1.803984182928468627e+00
4.800000000000000000e+01,5.929386977617753907e+00
4.900000000000000000e+01,2.856933432309168186e+00
5.000000000000000000e+01,4.023278912813109010e+00
5.100000000000000000e+01,1.474390443483232449e+00
5.200000000000000000e+01,4.662988238604577340e+00
5.300000000000000000e+01,2.104542924209728660e+00
5.400000000000000000e+01,2.203826768769471478e+00
5.500000000000000000e+01,6.914559503380941941e+00
5.600000000000000000e+01,3.952903976540144804e+00
5.700000000000000000e+01,1.787562639205683146e+00
5.800000000000000000e+01,4.532337553094095028e+00
5.900000000000000000e+01,3.600477222321480486e+00
6.000000000000000000e+01,1.554177298126800943e+00
6.100000000000000000e+01,1.733316126488514408e+00
6.200000000000000000e+01,2.484345920520441453e+00
6.300000000000000000e+01,2.723890237243468349e+00
6.400000000000000000e+01,4.623503821698074390e+00
6.500000000000000000e+01,2.473970174129617838e+00
6.600000000000000000e+01,1.759005831471794234e+00
6.700000000000000000e+01,3.180733451587843152e+00
6.800000000000000000e+01,6.736633801684272171e+00
6.900000000000000000e+01,2.299168490147166732e+00
7.000000000000000000e+01,1.974857453561962961e+00
7.100000000000000000e+01,2.976201894506496526e+00
7.200000000000000000e+01,7.045417651298591544e+00
7.300000000000000000e+01,4.248273631382653015e+00
7.400000000000000000e+01,1.714653206856558532e+00
7.500000000000000000e+01,4.548855555701762476e+00
7.600000000000000000e+01,1.315423815564687571e+00
7.700000000000000000e+01,4.177407771461796315e+00
7.800000000000000000e+01,2.979980955869212522e+00
7.900000000000000000e+01,1.570551945250540760e+00
8.000000000000000000e+01,4.125231778047330877e+00
8.100000000000000000e+01,2.062144239935984391e+00
8.200000000000000000e+01,2.752250288947446943e+00
8.300000000000000000e+01,3.494856420007649067e+00
8.400000000000000000e+01,5.484349766526325887e+00
8.500000000000000000e+01,2.628803512203598203e+00
8.600000000000000000e+01,1.464523024735975731e+00
8.700000000000000000e+01,5.125203461675647887e+00
8.800000000000000000e+01,2.725237420651141829e+00
8.900000000000000000e+01,3.416886194355003958e+00
9.000000000000000000e+01,3.390411212440212374e+00
9.100000000000000000e+01,1.956407535994165059e+00
9.200000000000000000e+01,1.999354650006206047e+00
9.300000000000000000e+01,8.245882596211334459e+00
9.400000000000000000e+01,6.100851290371615221e+00
9.500000000000000000e+01,3.457794842624964726e+00
9.600000000000000000e+01,5.572166899441096000e+00
9.700000000000000000e+01,4.267257429291746895e+00
9.800000000000000000e+01,2.181858931529165879e+00
9.900000000000000000e+01,2.008656839673965688e+00
